"identifier-label","accent 4","accent 5","accent href 5","accent 6","accent 7","accent 8","component--field-formatter 3","component--field-formatter 4","component--field-formatter 5","accent 10","accent 11","accent 12","accent 13","component--field-formatter 7","component--field-formatter 8","component--field-formatter 9","accent 14","component--field-formatter 10","accent 15","accent 16","accent href 16","accent 17","accent href 17","component--field-formatter 11","component--field-formatter 12","component--field-formatter 13","component--field-formatter 14","component--field-formatter 15","component--field-formatter 16","component--field-formatter 17","component--field-formatter 18","component--field-formatter href 7","component--field-formatter 19","component--field-formatter href 8","component--field-formatter 20","component--field-formatter href 9","ng-star-inserted 2","component--field-formatter 21","component--field-formatter 22","component--field-formatter href 10","component--field-formatter 23","component--field-formatter 24","component--field-formatter 25","component--field-formatter 26","component--field-formatter 27","component--field-formatter 28","component--field-formatter href 11","accent 18","accent href 18","component--field-formatter 29","component--field-formatter href 12","accent 19","accent href 19","component--field-formatter href 13","component--field-formatter 30","accent 20","accent href 20","accent 21","accent href 21","component--field-formatter 31","ng-star-inserted 3","ng-star-inserted 4"
"Sardine","Privacy and Security","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6","","Miami","Florida","Series C","Feb 11, 2025",",,,","Cryptocurrency","FinTech","Fraud Detection","Software","1,142","921","$10M to $50M","",",,","Greater Miami Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","Southern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/southern-united-states","33179","Active","2020","—","—","For Profit","www.sardine.ai","View on Twitter","https://x.com/sardine","","","View on LinkedIn","https://www.linkedin.com/company/sardineai","sales@sardine.ai","—","79","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/sardine","Emerging Unicorn","Sardine specializes in providing risk management solutions primarily for the financial services sector. They focus on using artificial intelligence and machine learning to help enterprises manage risks associated with fraud, credit, and compliance. The company aims to serve businesses in the digital economy by offering tools and services that enhance operational efficiency and ensure regulatory compliance.","—","—","—","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/sardine","Aditya Goel","https://www.crunchbase.com/person/aditya-goel-85b9","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/sardine","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000",",,","Soups Ranjan","https://www.crunchbase.com/person/soups-ranjan","Zahid Shaikh","https://www.crunchbase.com/person/zahid-shaikh","—","—",""
"Alcatraz AI","Privacy and Security","Science and Engineering","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/science-and-engineering","Software","Cupertino","California","Series B","Apr 1, 2026",",,,,,","3D Technology","Artificial Intelligence (AI)","Computer Vision","Facial Recognition","1,149","927","$1M to $10M","",",,","San Francisco Bay Area","Silicon Valley","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/silicon-valley-california","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","95014","Active","2016","—","—","For Profit","www.alcatraz.ai","View on Twitter","https://x.com/alcatrazai","View on Facebook","https://www.facebook.com/alcatrazai","View on LinkedIn","https://www.linkedin.com/company/alcatraz","contact@alcatraz.ai","650-600-0197","62","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/alcatraz","—","Alcatraz AI replaces badging as an access point identification method by leveraging facial recognition, 3d sensing, and AI. The company builds a facial authentication platform using AI and 3D sensing to enable a highly secure and frictionless entry into physical locations.

Alcatraz AI was founded in 2016 and is headquartered in California, USA.","—","—","—","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/alcatraz","Vince Gaydarzhiev","https://www.crunchbase.com/person/vince-gaydarzhiev","1","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/alcatraz","Machine Learning","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/machine-learning","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","","","","","","—","",""
"Zafran Security","Software","","","","New York","New York","Series C","Dec 2, 2025",",,,,","Cyber Security","Information Technology","Network Security","Risk Management","1,150","928","—","Women Founded",",,","Greater New York Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","Northeastern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/northeastern-united-states","—","Active","2022","—","—","For Profit","www.zafran.io","View on Twitter","https://x.com/Zafran_io","","","View on LinkedIn","https://www.linkedin.com/company/zafran-security","info@zafran.io","—","39","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/zafran","—","Zafran Security is a cybersecurity startup specializing in vulnerability prioritization and threat exposure management, aiming to identify, remediate, and mitigate risks within organizations. The AI-native exposure management platform developed by the company aims to proactively avert the exploitation of vulnerabilities by incorporating autonomous agents throughout all stages of the vulnerability management lifecycle. With threat actors rapidly exploiting newly revealed security vulnerabilities through AI automation, Zafran's platform enables organizations to take action before these vulnerabilities result in incidents. The company’s solutions work alongside current security tools, utilizing AI agents to pinpoint weaknesses, provide contextual information, and address these issues by linking them to controls and evaluating the potential for exploitation.","—","—","—","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/zafran","Ben Seri","https://www.crunchbase.com/person/ben-seri","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/zafran","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software","",",,","Sanaz Yashar","https://www.crunchbase.com/person/sanaz-yashar-3f05","Snir Havdala","https://www.crunchbase.com/person/snir-havdala-c72e","","—",""
"Overland AI","Science and Engineering","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6","Transportation","Seattle","Washington","Series B","Feb 3, 2026",",,,,","Artificial Intelligence (AI)","Autonomous Vehicles","Machine Learning","Robotics","1,154","930","$10M to $50M","Women Founded",",,","Greater Seattle Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","98103","Active","2022","—","—","For Profit","www.overland.ai","View on Twitter","https://x.com/overland_ai_x","","","View on LinkedIn","https://www.linkedin.com/company/overland-ai","info@overland.ai","—","32","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/overland-ai","—","Overland AI develops autonomous ground vehicle technology for tactical and operational applications. The company designs fully autonomous vehicles capable of navigating rugged terrain and GPS-denied environments, integrating seamlessly with human-operated systems. Its core technologies include OverDrive, an autonomy stack for off-road maneuvering; OverWatch, a command and control platform for coordinating multiple vehicles; and SPARK, modular hardware that enables autonomy on existing platforms. Overland AI focuses on minimizing risk to human operators while enhancing operational capabilities, supporting applications in defense, wildfire response, and logistical operations. The company emphasizes modularity, tactical versatility, and autonomous coordination to extend ground power in challenging environments.","—","—","—","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/overland-ai","Byron Boots","https://www.crunchbase.com/person/byron-boots-05c0","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/overland-ai","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/software","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000",",,","Greg Okopal","https://www.crunchbase.com/person/greg-okopal","Stephanie Bonk","https://www.crunchbase.com/person/stephanie-bonk-251e","","—",""
"Ouro Medicines","","","","","San Francisco","California","Series A","Jan 10, 2025",",,","Biotechnology","Health Care","Medical","","1,170","943","$1M to $10M","",",,","San Francisco Bay Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","94107","Active","2025","Mar 23, 2026","—","For Profit","www.ouromedicines.com","","","","","View on LinkedIn","https://www.linkedin.com/company/ouromedicines","info@ouromeds.com","—","66","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/ouro-medicines","—","Ouroboros Medicines is a biotechnology company that specializes in immunology and focuses on treating long-term immune-mediated illnesses. The company addresses chronic immune-mediated conditions directly by integrating scientific knowledge, a proven history of progressing cell-depleting treatments through clinical trials, and a strong pipeline.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/ouro-medicines","","","—","","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","—","","","","","—","—","—"
"RoboForce","Science and Engineering","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6","","Milpitas","California","Seed","Mar 16, 2026",",,","Artificial Intelligence (AI)","Machine Learning","Robotics","","1,173","946","$10M to $50M","",",,","San Francisco Bay Area","Silicon Valley","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/silicon-valley-california","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","—","Active","2023","—","—","For Profit","www.roboforce.ai","View on Twitter","https://x.com/roboforce_ai","","","View on LinkedIn","https://www.linkedin.com/company/roboforce-ai","hello@roboforce.ai","—","29","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/roboforce","—","RoboForce is building the future of Physical AI — scalable, deployable Robo-Labor designed for demanding industrial environments. Founded in 2023 by experts from CMU, UMich, Amazon Robotics, Google, Waymo, Cruise, Tesla Robotics, ABB, and Apple. RoboForce is backed by YZi Labs, Myron Scholes, Gary Rieschel, Jerry Yang, Carnegie Mellon University, and beyond.","—","—","—","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/roboforce","Calvin Zhou","https://www.crunchbase.com/person/changkai-z","2","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/roboforce","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000",",","Leo Ma","https://www.crunchbase.com/person/leo-ma-8279","","","—","—",""
"Stedi","","","","","New York","New York","Series C","Mar 24, 2026",",,","B2B","Health Care","Information Technology","","1,187","954","$1M to $10M","",",,","Greater New York Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","Northeastern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/northeastern-united-states","10003","Active","2017","—","—","For Profit","www.stedi.com","View on Twitter","https://x.com/stedi","","","View on LinkedIn","https://www.linkedin.com/company/stedi-inc","hello@stedi.com","—","7","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/stedi","—","Stedi is building the world’s only API-first clearinghouse. By offering modern API interfaces alongside traditional real-time and batch EDI processes, Stedi enables both healthcare technology businesses and established players to exchange mission-critical transactions. Stedi has raised $92 million from Addition, Stripe, Union Square Ventures, First Round Capital, Bloomberg Beta, and other top investors.","—","—","—","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/stedi","Zack Kanter","https://www.crunchbase.com/person/zack-kanter","1","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/stedi","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000","","","","","","—","—",""
"Superpower","","","","","Los Angeles","California","Series A","Apr 22, 2025",",,","Health Care","Health Diagnostics","Personal Health","","1,193","960","$1M to $10M","",",,","Greater Los Angeles Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","90064","Active","2022","—","—","For Profit","superpower.com","View on Twitter","https://x.com/superpower","","","View on LinkedIn","https://www.linkedin.com/company/superpower-health","—","—","32","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/superpower-d964","—","Superpower offers a digital health platform that integrates comprehensive diagnostics, personalized care plans, and health tracking tools. The service includes over 100 lab tests per year, covering areas such as cardiovascular health, hormone levels, inflammation, and gut microbiome analysis. Users receive a customized action plan with recommendations on diet, supplements, and lifestyle adjustments. The platform provides a centralized dashboard for storing and monitoring medical records and test results over time. Additional services include access to a concierge care team, specialty testing for toxins and genetic markers, and a curated marketplace of health products. Superpower operates on a membership model, offering its services for an annual fee.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/superpower-d964","Jacob Peters","https://www.crunchbase.com/person/jacob-peters","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/superpower-d964","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000",",,","Kevin Unkrich","https://www.crunchbase.com/person/kevin-unkrich-764e","Max Marchione","https://www.crunchbase.com/person/max-marchione","—","—",""
"Debbie","","","","","New York","New York","Seed","Apr 13, 2026",",,","Financial Services","FinTech","Personal Finance","","1,205","971","Less than $1M","Women Founded",",,","Greater New York Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","Northeastern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/northeastern-united-states","—","Active","Oct 2021","—","—","For Profit","joindebbie.com","View on Twitter","https://x.com/DebbieRewards","View on Facebook","https://www.facebook.com/debbierewards","View on LinkedIn","https://www.linkedin.com/company/debbie-rewards/","—","—","6","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/debbie","—","Points for the 99%. Get paid to pay off your debt and save. Debbie partners with mission-aligned financial institutions to acquire and engage young consumers by rewarding them for positive financial habits.","—","—","—","1-10","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/debbie","Frida Leibowitz","https://www.crunchbase.com/person/frida-leibowitz","2","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/debbie","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00000000",",","Rachel Lauren","https://www.crunchbase.com/person/rachel-lauren","","","","",""
"Agility","Software","","","","Salem","Oregon","Series C","Sep 10, 2025",",,","Industrial Engineering","Mechanical Engineering","Robotics","","1,206","972","$10M to $50M","Women Led",",","West Coast","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","","","97317","Active","2015","—","—","For Profit","www.agilityrobotics.com","View on Twitter","https://x.com/agilityrobotics","View on Facebook","https://www.facebook.com/agilityrobotics","View on LinkedIn","https://www.linkedin.com/company/agility-robotics","ar-legal@agilityrobotics.com","—","297","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/agility-0","—","Agility develops humanoid robots and automation platforms for warehouse, manufacturing, and logistics operations. It provides robotic deployment solutions and software platforms that support industrial automation and the handling of repetitive tasks. The company also offers software platforms to manage and support robotic operations in industrial environments.","—","—","—","251-500","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/agility-0","Damion Shelton","https://www.crunchbase.com/person/damion-shelton","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/agility-0","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000",",,","Jonathan Hurst","https://www.crunchbase.com/person/jonathan-hurst","Mikhail Jones","https://www.crunchbase.com/person/mikhail-jones","","",""
"Petual","Information Technology","Professional Services","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/professional-services-abe5","Science and Engineering","San Francisco","California","Seed","Apr 23, 2026",",,,,,,,","Artificial Intelligence (AI)","Compliance","Enterprise Software","Financial Services","1,207","973","—","",",,","San Francisco Bay Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","—","Active","2024","—","—","For Profit","www.petual.ai","","","","","View on LinkedIn","https://www.linkedin.com/company/petual","contact@petual.ai","—","8","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/petual","—","Petual is building the AI-powered platform for audit and compliance, transforming how enterprises manage SOX, operational, financial, and compliance risk. Our intelligent agents deliver precision, coverage, and speed impossible with manual testing.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/petual","Snir Kodesh","https://www.crunchbase.com/person/snir-kodesh","1","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/petual","Information Technology","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/information-technology-dbca","","","","","","","—","—","—"
"OneRail","","","","","Orlando","Florida","Series C","Nov 21, 2024",",,,","Last Mile Transportation","Logistics","SaaS","Supply Chain Management","1,211","977","$10M to $50M","Women Founded",",","East Coast","Southern US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/southern-united-states","","","32819","Active","Jan 3, 2018","—","—","For Profit","www.onerail.com","View on Twitter","https://x.com/onerailapp","View on Facebook","https://www.facebook.com/OneRailapp","View on LinkedIn","https://www.linkedin.com/company/onerail-finalmile","info@onerail.io","407-792-6327","265","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/onerail","—","OneRail is a logistics company that offers comprehensive last mile delivery solutions through its OmniPoint™ platform. The company connects clients with a vast network of couriers, ensuring real-time visibility and efficient order fulfillment.","—","—","—","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/onerail","Bill Catania","https://www.crunchbase.com/person/bill-catania","2","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/onerail","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00010000",",","Lisa Catania","https://www.crunchbase.com/person/lisa-casaburi","","","","",""
"TrueFoundry","Information Technology","Science and Engineering","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/science-and-engineering","Software","San Francisco","California","Series A","Feb 6, 2025",",,,,","Agentic AI","AI Infrastructure","Artificial Intelligence (AI)","DevOps","1,212","978","$1M to $10M","",",,","San Francisco Bay Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","94107","Active","Aug 19, 2021","—","—","For Profit","truefoundry.com","View on Twitter","https://x.com/truefoundry","","","View on LinkedIn","https://www.linkedin.com/company/truefoundry","—","—","46","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/truefoundry","—","TrueFoundry is an Enterprise Platform as a service that enables companies to build, ship and govern Agentic AI applications securely, at scale and with reliability through its AI Gateway and Agentic Deployment platform. Its AI Gateway encompasses a combination of - LLM Gateway, MCP Gateway and Agent Gateway - enabling enterprises to manage, observe, and govern access to all components of a Gen AI Application from a single control plane while ensuring proper FinOps controls. Its Agentic Deployment platform enables organizations to deploy models on GPUs using best practices, run and scale AI agents, and host MCP servers - all within the same Kubernetes-native platform. It supports on-premise, multi-cloud or Hybrid installation for both the AI Gateway and deployment environments, offers data residency and ensures enterprise-grade compliance with SOC 2, HIPAA, EU AI Act and ITAR standards. Leading Fortune 1000 companies like Resmed, Siemens Healthineers, Automation Anywhere, Zscaler, Nvidia and others trust TrueFoundry to accelerate innovation and deliver AI at scale, with 10Bn + requests per month processed via its AI Gateway and more than 1000+ clusters managed by its Agentic deployment platform. TrueFoundry’s vision is to become the Central control plane for running Agentic AI at scale within enterprises and empowering it with intelligence so that the multi-agent systems become a self-sustaining ecosystem driving unparalleled speed and innovation for businesses. To learn more about TrueFoundry, visit truefoundry.com.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/truefoundry","Abhishek Choudhary","https://www.crunchbase.com/person/abhishek-choudhary-8954","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/truefoundry","Machine Learning","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/machine-learning","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000",",,","Anuraag Gutgutia","https://www.crunchbase.com/person/anuraag-gutgutia-dff9","Nikunj Bajaj","https://www.crunchbase.com/person/nikunj-bajaj-7fd4","—","—",""
"Browserbase","","","","","San Francisco","California","Series B","Apr 22, 2025",",","Information Technology","Software","","","1,217","983","—","",",,","San Francisco Bay Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","94114","Active","2024","—","—","For Profit","www.browserbase.com","View on Twitter","https://x.com/browserbasehq","","","View on LinkedIn","https://www.linkedin.com/company/browserbasehq","support@browserbase.com","—","33","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/browserbase","—","Browserbase is a comprehensive platform for developers to host, administer, and monitor headless browsers in the cloud.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/browserbase","Paul Klein IV","https://www.crunchbase.com/person/paul-klein","1","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/browserbase","","","","","","","","","—","—",""
"Neurable","Design","Hardware","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/hardware-2e6e","Science and Engineering","Boston","Massachusetts","Series A","Dec 19, 2025",",,,,","Artificial Intelligence (AI)","Augmented Reality","Human Computer Interaction","Neuroscience","1,238","999","$1M to $10M","",",,","Greater Boston Area","East Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/east-coast-united-states","New England","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/new-england-united-states","—","Active","2015","—","—","For Profit","neurable.com/","View on Twitter","https://x.com/neurable","View on Facebook","https://www.facebook.com/neurable/","View on LinkedIn","https://www.linkedin.com/company/neurable","info@neurable.com","—","104","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/neurable","—","Neurable is a neurotechnology company specializing in developing AI-powered tools for brain signal translation and brain-computer interface technology. Utilizing patented signal processing, developed through research across labs and institutions, and advanced by a scientific and expert product team, its platform enables high-performance brain-computer interface in everyday devices.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/neurable","Adam Molnar","https://www.crunchbase.com/person/adam-molnar","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/neurable","Virtual Reality","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/virtual-reality","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000",",,","James Hamet","https://www.crunchbase.com/person/james-hamet","Ramses Alcaide","https://www.crunchbase.com/person/ramses-alcaide","—","",""
"Unframe","Software","","","","Cupertino","California","Series A","Apr 3, 2025",",,","Artificial Intelligence (AI)","SaaS","Software","","1,239","1,000","$1M to $10M","",",,","San Francisco Bay Area","Silicon Valley","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/silicon-valley-california","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","—","Active","2024","—","—","For Profit","www.unframe.ai","","","View on Facebook","https://www.facebook.com/profile.php?id=61568108946314","View on LinkedIn","https://www.linkedin.com/company/unframe-ai","contact@unframe.ai","—","80","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/unframe-ai","—","Unframe helps enterprises move beyond generic, low-accuracy AI tools that don’t deliver real business value. Its platform is designed to build tailored production-ready, AI-native solutions fast. Unframe works with each organization to pinpoint the right use case and, in about three days, delivers a fully functional solution that can be tested on sample data or the company’s own data. Only once clear value is demonstrated does Unframe move forward with licensing.

The platform supports a wide range of use cases, from observability, business intelligence and analytics to extracting and abstracting unstructured data, and building proactive workflows and agents. Unframe’s platform is built from hundreds of deep technical building blocks that can be tailored and assembled using a Blueprint architecture to meet each customer’s exact needs. Every Unframe solution can run on the customer's cloud, on-premises, or as fully managed SaaS, and is LLM agnostic.","—","—","—","51-100","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/unframe-ai","Adi Azarya","https://www.crunchbase.com/person/adi-azarya","3","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/unframe-ai","","","https://www.crunchbase.com/search/organizations/field/organization.companies/revenue_range/r_00001000",",,","Larissa Schneider","https://www.crunchbase.com/person/larissa-schneider-9f56","Shay Levi","https://www.crunchbase.com/person/shay-levi","—","","—"
"Hadrian","Science and Engineering","Software","https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6","Transportation","Hawthorne","California","Series C","Dec 30, 2025",",,,,","Aerospace","Artificial Intelligence (AI)","Machinery Manufacturing","Manufacturing","1,241","1,002","—","",",,","Greater Los Angeles Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","90250","Active","Nov 2020","—","—","For Profit","hadrian.co","View on Twitter","https://x.com/HadrianSpace","","","View on LinkedIn","https://www.linkedin.com/company/hadrianspace","—","415-338-9495","86","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/hadrian-caa2","Unicorn","Hadrian is a precision manufacturing company that manufactures precision components to serve aerospace and defense clients. It builds autonomous, software-defined precision component factories that help its customers make rockets, satellites, jets, and eVTOLs.","—","—","—","101-250","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/hadrian-caa2","Chris Power","https://www.crunchbase.com/person/chris-power-2","1","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/hadrian-caa2","Supply Chain Management","https://www.crunchbase.com/search/organizations/field/organization.companies/categories/supply-chain-management","","","","","","","—","—",""
"Auctor","","","","","San Francisco","California","Series A","Apr 15, 2026",",,,","Generative AI","Productivity Tools","SaaS","Software","1,243","1,004","—","",",,","San Francisco Bay Area","West Coast","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/west-coast-united-states","Western US","https://www.crunchbase.com/search/organizations/field/organization.companies/location_group_identifiers/western-united-states","—","Active","Jan 23, 2025","—","—","For Profit","getauctor.com","","","","","View on LinkedIn","https://www.linkedin.com/company/getauctor","will@getauctor.com","—","4","https://www.crunchbase.com/search/press_references/field/organization.companies/num_articles/auctor","—","Auctor is a software platform that provides an AI-driven system designed to support software implementation processes for professional services teams and system integrators. It functions as an “agentic operating system” that captures, structures, and manages project requirements while keeping related conversations, decisions, and artifacts connected throughout the delivery lifecycle. The platform ingests institutional knowledge and automatically records inputs from discovery sessions and workshops, transforming unstructured data into structured requirements ready for execution. It also generates project materials such as scopes, plans, and documentation, enabling teams to move from discovery to delivery more efficiently while maintaining consistency across outputs. Additionally, Auctor maintains traceability across teams and stages, ensuring alignment between stakeholders and preserving continuity from initial planning through implementation.","—","—","—","11-50","https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/auctor","Anthony Sky Ng-Thow-Hing","https://www.crunchbase.com/person/anthony-sky-ng-thow-hing","4","https://www.crunchbase.com/search/people/field/organization.companies/num_founders/auctor","","","",",,,","Matthew Blackburn","https://www.crunchbase.com/person/matthew-blackburn-0e25","William Sun","https://www.crunchbase.com/person/william-sun-95f6","—","—","—"
